wreck_num,wreck_name,wdpa_gid,wdpa_name
740.0,Redbird Reef V,164292,Mid-Atlantic Coastal Waters Area
741.0,Allan R.,164168,Waters off New Jersey
741.0,Allan R.,164297,Southern Nearshore
741.0,Allan R.,164292,Mid-Atlantic Coastal Waters Area
742.0,Guido's Tug,164168,Waters off New Jersey
742.0,Guido's Tug,164297,Southern Nearshore
742.0,Guido's Tug,164292,Mid-Atlantic Coastal Waters Area
743.0,Elizabeth,164168,Waters off New Jersey
743.0,Elizabeth,164297,Southern Nearshore
743.0,Elizabeth,164292,Mid-Atlantic Coastal Waters Area
744.0,Miss Beth (Cape May Reef),164168,Waters off New Jersey
744.0,Miss Beth (Cape May Reef),164297,Southern Nearshore
744.0,Miss Beth (Cape May Reef),164292,Mid-Atlantic Coastal Waters Area
745.0,Stainless Steel Subway,164168,Waters off New Jersey
745.0,Stainless Steel Subway,164297,Southern Nearshore
745.0,Stainless Steel Subway,164292,Mid-Atlantic Coastal Waters Area
746.0,Stainless Steel Subway,164168,Waters off New Jersey
746.0,Stainless Steel Subway,164297,Southern Nearshore
746.0,Stainless Steel Subway,164292,Mid-Atlantic Coastal Waters Area
747.0,Stainless Steel Subway,164168,Waters off New Jersey
747.0,Stainless Steel Subway,164297,Southern Nearshore
747.0,Stainless Steel Subway,164292,Mid-Atlantic Coastal Waters Area
748.0,Stainless Steel Subway,164168,Waters off New Jersey
748.0,Stainless Steel Subway,164297,Southern Nearshore
748.0,Stainless Steel Subway,164292,Mid-Atlantic Coastal Waters Area
749.0,Stainless Steel Subway,164168,Waters off New Jersey
749.0,Stainless Steel Subway,164297,Southern Nearshore
749.0,Stainless Steel Subway,164292,Mid-Atlantic Coastal Waters Area
750.0,Stainless Steel Subway,164168,Waters off New Jersey
750.0,Stainless Steel Subway,164297,Southern Nearshore
750.0,Stainless Steel Subway,164292,Mid-Atlantic Coastal Waters Area
753.0,Ke?ehi Barge,145094,Hawaiian Islands Humpback Whale
754.0,Mud Skow Barge,145094,Hawaiian Islands Humpback Whale
756.0,Navy LCU,145094,Hawaiian Islands Humpback Whale
771.0,Site 11,164296,Southern Mid-Atlantic Waters
771.0,Site 11,164297,Southern Nearshore
